鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
525,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
526,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
527,49,7,3,4,2,1,3,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,13,0,0,0,8,0,0,0,0,0,0,0,0
528,60,7,4,4,2,3,3,0,0,1,5,3,3,1,1,0,0,0,0,0,0,0,0,0,4,15,0,0,0,8,0,0,0,0,0,0,0,0
529,18,3,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0
530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,230,14,19,10,13,9,6,1,1,2,14,8,4,6,3,0,0,0,0,0,0,0,2,0,17,71,0,0,0,44,0,0,0,0,0,0,0,0
532,315,12,26,6,23,9,8,2,0,1,15,12,10,7,8,1,1,0,0,0,0,0,7,0,13,109,0,1,7,60,11,4,4,5,7,6,5,4
533,140,15,15,6,11,1,4,4,1,0,12,3,3,3,4,0,0,0,0,0,0,0,2,0,12,39,0,0,0,26,2,1,2,1,1,1,1,1
534,197,8,20,11,19,10,6,0,0,2,9,9,2,3,4,0,0,0,0,0,0,0,5,0,17,66,0,0,3,26,4,3,3,3,3,6,3,3
535,214,13,21,14,16,7,3,1,1,2,12,6,6,6,4,1,0,0,0,0,0,0,0,0,19,61,0,1,2,41,4,4,4,4,4,4,4,4
